id,source_image,mask_image,prompt,detailed_prompt,fill_color,mask_type
apple_fur_side,73b7a544f38a272b.jpg,8e39cf946f31ae2c.mask.png,Cover the apple in long purple fur,Cover the left side of the apple in long purple fur,"51,20,85",outline
apple_net_detailedwhite,73b7a544f38a272b.jpg,3bb64305357b515c.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,"49,35,35",onlywhite
apple_net_detailedgrey,73b7a544f38a272b.jpg,f479d9a81841ef84.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,"77,40,40",stategic
apple_net_mostlywhite,73b7a544f38a272b.jpg,297d5062c1481748.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,"23,24,24",outline
apple_net_vaugegrey,73b7a544f38a272b.jpg,944a3f452d6df882.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,"41,22,22",mostlygrey
apple_net_fullgrey,73b7a544f38a272b.jpg,045cbc0d1a086388.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,,onlygrey
apple_net_mostlygrey,73b7a544f38a272b.jpg,f69d7c064d3f7f19.mask.png,wrapped in a net of black twine,The apple is wrapped in a net of black twine,"63,38,38",mostlygrey
applebasket_fur,f917051e9f14fae0.jpg,68b449e789e0149d.mask.png,Covered in long purple fur,Cover all the apples in long purple fur,"37,16,67",outline
darkalley_neon,5311462695bb6549.jpg,cf414c7e929570f7.mask.png,Make the pipes into glowing neon tubes,Make some of the pipes on the left wall into glowing neon tubes,"141,198,211",stategic
ginger_facepaint_red,b76dc671a7d2b52f.jpg,bc4876c99d797105.mask.png,The girl has red facepaint,The girl has red facepaint around her eyes and making a spiral on her cheek,"193,26,20",stategic
boards_polished,f1094a0875d38bff.jpg,8ee307c9ff2a270a.mask.png,The board should be shiny polished wood,Pick one board to be shiny polished wood,"82,53,40",onlywhite
excavatorbucket_chrome,f8128237c7ce2e9e.jpg,00b9c6890e729837.mask.png,Clean the metal so it is as shiny as a chrome mirror,Clean the metal bucket so that it is as shiny as a chrome mirror,"128,122,121",outline
offroadcar_paint_red,a455a8de9d519c9b.jpg,17bc2d5aee6ee738.mask.png,Bright red paint,Change the color of the car’s paint to bright red,"183,8,19",stategic
smallpumpkins_pink,fbb2b68c344753d3.jpg,b9494ae5e988b7b8.mask.png,Pink-skinned pumpkins,Make five of the pumpkins pink-skinned,"202,69,108",outline
mountainridge_flowers_blue,882d5a1ddab66bd7.jpg,268214bc51962454.mask.png,Small bright blue flowers growing on the ground,Sparse scattering of occasional small bright blue flowers growing on the ground,"136,138,154",outline
baplane_checkrboard,96469cc77f10cccf.jpg,5c45e55288492147.mask.png,Paint the plane in a checkerboard pattern,Paint just the back half of the plane in a checkerboard pattern,"145,113,115",outline
housewall_extend_stone,844a95656058b90a.jpg,646efa73f1cf4689.mask.png,Seamlessly extend the stone wall,Seamlessly extend the stone wall halfway up the white stucco,"126,131,140",outline
redforest_snow_piles,c904a2dcd9c8aaea.jpg,9c266689e84ce159.mask.png,Piles of snow,"Piles of snow on the ground, but especially in the middle of the path","195,214,225",outline
aerialtrees_orange,03aa68d3b7d1f340.jpg,e78facc911e11ed1.mask.png,Trees have changed to orange and red fall colors,"Trees in an unusual line have changed to orange and red fall colors, cutting diagonally across the image perpendicular to the road","134,58,32",outline
leaningman_leather_coat,256a0fc6df95cb82.jpg,920f4456791910b3.mask.png,The man is wearing a leather coat,"The man is wearing a leather coat, open in the middle","38,44,48",outline
sentil_alley_moss,94d0aca1b129029d.jpg,28fd8f6b4c96af7b.mask.png,Patches of moss and vines add realistic detail,The walls and curbs have patches of moss and vines that add realistic detail,"74,77,42",outline
abandoned_room_cobwebs,ed5cb9b788d20db6.jpg,62e67c4d5febd524.mask.png,Dense cobwebs,Dense cobwebs have accumulated in the corners of the room,"76,71,68",outline
ldb_eiffelpagoda_detailed,326ed30e63c04227.jpg,00a6cafed9d34fb9.mask.png,replace with a japanese pagoda,replace the eiffel tower with a japanese pagoda,"59,52,48",stategic
ldb_eiffelpagoda_vauge,326ed30e63c04227.jpg,34091cae892e9032.mask.png,replace with a japanese pagoda,replace the eiffel tower with a japanese pagoda,"61,53,51",mostlygrey
mountain_ocean_small,cc7690affbfa2f78.jpg,9633b4de67b5fd47.mask.png,distant ocean reflecting the sunset,replace the distant land with empty ocean across the horizon,"104,125,143",outline
mountain_ocean_large,cc7690affbfa2f78.jpg,d8872897492000a4.mask.png,distant ocean reflecting the sunset,replace the distant land with empty ocean forming a bay,"84,90,99",outline
bookstack_apple_fabric,c3e126ac17908b8f.jpg,d8d3f8100c0579c3.mask.png,intricate red and gold fabric padding,intricate red fabric padding is resting on top of the apple,"131,76,48",outline
bookstack_bowl_fabric,c3e126ac17908b8f.jpg,cef406449c6598dd.mask.png,intricate red and gold fabric padding,intricate red fabric padding around the rim of the bowl,"124,49,31",outline
bookstack_apple_fuzz,c3e126ac17908b8f.jpg,d8d3f8100c0579c3.mask.png,covered in silver fuzz,the top of the apple is covered in silver fuzz,"158,157,160",outline
bookstack_bowl_fuzz,c3e126ac17908b8f.jpg,cef406449c6598dd.mask.png,covered in silver fuzz,the rim of the bowl is covered in silver fuzz,"154,154,156",outline
bookstack_bowl_gems,c3e126ac17908b8f.jpg,d96d920d627d579f.mask.png,dimond gems set into the surface,the bowl has a circle of dimond gems set into the surface,"169,166,162",outline
bookstack_apple_gems,c3e126ac17908b8f.jpg,a597ce0d40e943db.mask.png,dimond gems set into the surface,the apple has dimond gems set randomly into the surface,"165,157,154",outline
kitchen_backwall_tiles,b36df0d97342824a.jpg,2d880279c68c626f.mask.png,change surface to shiny blue tiles,change the backwall to shiny blue tiles,"33,91,179",stategic
kitchen_behindstools_tiles,b36df0d97342824a.jpg,79dacc6da9caab83.mask.png,change surface to shiny blue tiles,change the wood backboard to shiny blue tiles,"37,68,169",outline
kitchen_floor_tiles,b36df0d97342824a.jpg,279a75228ef7975f.mask.png,change surface to shiny blue tiles,change the floor to shiny blue tiles,"27,89,183",outline
